"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2185","Registration with correct email, username and password","LMS system","Mon Apr 20 05:33:55 UTC 2026","passed","Mon Apr 20 05:33:57 UTC 2026","Registration","Authentification","",""
"","1517","Navigation from login page to  registration page","LMS system","Mon Apr 20 05:33:51 UTC 2026","passed","Mon Apr 20 05:33:52 UTC 2026","Authorization","Authentification","",""
"","1257","Check displaying of empty course list","LMS system","Mon Apr 20 05:34:01 UTC 2026","passed","Mon Apr 20 05:34:02 UTC 2026","Courses","Courses","",""
"","1800","Check displaying of dashboard page","LMS system","Mon Apr 20 05:34:14 UTC 2026","passed","Mon Apr 20 05:34:15 UTC 2026","Dashboard","Dashboard","",""
"","1512","User login with wrong email or password","LMS system","Mon Apr 20 05:33:43 UTC 2026","passed","Mon Apr 20 05:33:44 UTC 2026","Authorization","Authentification","",""
"","2004","Check displaying of dashboard page","LMS system","Mon Apr 20 05:34:11 UTC 2026","passed","Mon Apr 20 05:34:13 UTC 2026","Dashboard","Dashboard","",""
"","1679","Check displaying of empty course list","LMS system","Mon Apr 20 05:34:00 UTC 2026","passed","Mon Apr 20 05:34:01 UTC 2026","Courses","Courses","",""
"","3827","Edit course","LMS system","Mon Apr 20 05:34:06 UTC 2026","passed","Mon Apr 20 05:34:10 UTC 2026","Courses","Courses","",""
"","9063","User login with correct email and password","LMS system","Mon Apr 20 05:33:45 UTC 2026","passed","Mon Apr 20 05:33:54 UTC 2026","Authorization","Authentification","",""
"","1445","User login with wrong email or password","LMS system","Mon Apr 20 05:33:55 UTC 2026","passed","Mon Apr 20 05:33:56 UTC 2026","Authorization","Authentification","",""
"","1703","Navigation from login page to  registration page","LMS system","Mon Apr 20 05:33:57 UTC 2026","passed","Mon Apr 20 05:33:58 UTC 2026","Authorization","Authentification","",""
"","2017","User login with wrong email or password","LMS system","Mon Apr 20 05:33:38 UTC 2026","passed","Mon Apr 20 05:33:40 UTC 2026","Authorization","Authentification","",""
"","3390","User login with correct email and password","LMS system","Mon Apr 20 05:33:38 UTC 2026","passed","Mon Apr 20 05:33:41 UTC 2026","Authorization","Authentification","",""
"","2014","User login with wrong email or password","LMS system","Mon Apr 20 05:33:48 UTC 2026","passed","Mon Apr 20 05:33:50 UTC 2026","Authorization","Authentification","",""
"","3012","Create course","LMS system","Mon Apr 20 05:34:03 UTC 2026","passed","Mon Apr 20 05:34:06 UTC 2026","Courses","Courses","",""
"","3080","Create course","LMS system","Mon Apr 20 05:34:02 UTC 2026","passed","Mon Apr 20 05:34:05 UTC 2026","Courses","Courses","",""
"","2159","User login with wrong email or password","LMS system","Mon Apr 20 05:33:45 UTC 2026","passed","Mon Apr 20 05:33:47 UTC 2026","Authorization","Authentification","",""
"","5761","Edit course","LMS system","Mon Apr 20 05:34:07 UTC 2026","passed","Mon Apr 20 05:34:13 UTC 2026","Courses","Courses","",""
"","1937","User login with wrong email or password","LMS system","Mon Apr 20 05:33:40 UTC 2026","passed","Mon Apr 20 05:33:42 UTC 2026","Authorization","Authentification","",""
"","1842","Registration with correct email, username and password","LMS system","Mon Apr 20 05:33:53 UTC 2026","passed","Mon Apr 20 05:33:54 UTC 2026","Registration","Authentification","",""
